title,description
"Cairn You Stack 'Em?",You must create a single stack of rocks using rocks found nearby.\n\nYou must stack at least 3 rocks in order to not veto this challenge.\n\nYou receive bands depending on how many rocks you can stack:\n3 Rocks = 1 Band\n6 Rocks = 2 Bands\n9+ Rocks = 3 Bands\n\nYou have 5 minutes. Your time starts right now!
"Tattoo Interview",Interview someone with tattoos. Ask them at least 3 of the following questions:\nWhat's the meaning of one of your tattoos?\nWhere are you from?\nWhat was your first tattoo?\nWhy did you get it?\nIf you could remove a tattoo which one would it be and why?\n\nYou may film if you choose to and only if the interviewee consents.
"Feel The Burn!",Hold either:\n- A Plank (straight back while resting only on your forearms and toes)\nor\n- A Squat (fully seated position with your hands out in front of you).\n\nChoose your poison and hold it for 90 seconds to complete the challenge.\n\nYou may attempt only once and you must film this attempt.
"Pet Interview",Interview a person with a pet. Ask them the following questions:\nWhat is the owner's name?\nWhat is the pet's name?\nWhat breed is the pet?\nHow long have they had the pet for?\nWhat's the most expensive/annoying thing the pet has ever done?\n\nYou may film if you choose to and only if the interviewee consents.
"Run Monkey Run!",Go to the nearest park or grassy area. Do a 'monkey run' (running on all fours) for 30 seconds.\n\nYou must provide video evidence.
"I Want It That Way","Sing aloud the first verse and chorus of ""I Want It That Way"" by The Backstreet Boys.\nMultiple players from your team may attempt this challenge together. Each participating player gets a band.\n\nYou must film your attempt.\n\nFor the uninitiated... here are the lyrics:\n\nYou are my fire\nThe one desire\nBelieve when I say\nI want it that way\nTell me why\nAin't nothin' but a heartache\nTell me why\nAin't nothing but a mistake\nTell me why\nI never wanna hear you say\nI want it that way"
"Seriously? I Know…",Call any non-player and hold a phone call for 60 seconds using only the words 'Seriously' and 'I know'.\n\nIf they don't pick up on the first attempt or if they hang up within 60 seconds it's an instant veto.\n\nYou get one attempt.
"Kanga-Race",Verse a non-player in a kangaroo race.\n\nYou must both jump like a kangaroo past two stores or buildings. You start at the beginning of the first store/building and finish at the end of the second.\n\nYou must film your attempt only if your opponent consents.
"Look! It's A Rainbow!",Create a rainbow with the following colours:\n\nRed\nYellow\nPink\nGreen\nOrange\nPurple\nBlue\n\nYou may only use natural organic items around you to construct your rainbow.\n\nYou must take a photo of your masterpiece.
"Cartwheel Craziness",Both you and a willing non-player must attempt a cartwheel.\n\nYou do not have to do a good cartwheel but it must be a genuine attempt.\n\nFilm your attempt only if the other person consents.
"Months Alphabet Race",Race a non-player to say the months of the year in alphabetical order. You do not have to win.\n\nNo practice beforehand - not even sneaky mental practice!\n\nFilm your attempt only if they consent.
"Bird Hunt!",You must take a photo of 5 different species of bird.\n\nYou have 10 minutes. Your time starts now!
"Fast Facts Quiz",Ask a non-player to play fast facts with you. Film their attempt only if they consent.\n\nYou must ask them the 10 questions listed below:\n\nWhat colours are in the Australian flag? (Ans: Blue + Red + White)\nHow many stars are in the Southern Cross? (Ans: 5)\nWhat 2 Aussie animals can be found on the Australian coat of arms? (Ans: Kangaroo & Emu)\nWhat does CD stand for in terms of data storage? (Ans: Compact Disc)\nWhat is the tallest building in Sydney CBD? (Ans: Either the Crown Tower or Centrepoint Tower)\nName the 2 main bridges that allow traffic in and out of Sydney CBD. (Ans: ANZAC Bridge + Sydney Harbour Bridge)\nWhich body part has more bones - hands or feet? (Ans: Hands)\nWhat is a human's largest organ? (Ans: Skin)\nWhich one is not like the other?\n- Wallabie\n- Koala\n- Joey\n- Alligator\n- Jabiru\n(Ans: Alligator – it doesn’t live in Australia.)\nIn what state of Australia will you find the world's happiest animal - the Quokka? (Ans: WA)\n\nYou may take one band once you've completed this game with the non-player.
"Instant Veto",UH OH!\n\nThis challenge is an instant veto. You must wait 8 minutes before scanning or participating in a challenge.\n\nSometimes that's the risk you take…
"Instant Veto",UH OH!\n\nThis challenge is an instant veto. You must wait 8 minutes before scanning or participating in a challenge.\n\nSometimes that's the risk you take…
"Victory Lap","Run a celebratory lap around a public object while cheering dramatically. Film the lap."
"Treat yourself","Go and purchase a 50c soft serve cone from McDonalds. If you put the soft serve on your head like a unicorn and take a selfie. You get a bonus band."
"The Fashion Runway","Turn a public walkway into a fashion runway for 30 seconds."
"Public Safety Announcement","Find a traffic cone/ warning sign/ or safety barrier. For 20 seconds you must act as its official spokesperson and dramatically warn the public about the ""dangers"" nearby."
"Public Fitness Instructor","Lead a real or imagined group through a 30-second workout. Film the workout."
"Pitch Perfect","You and 3 teammates must create a 20-second song using only body percussion and voices. Each player gets a band."
"Paper Air Ace","Fold and fly a paper airplane. It must travel at least 5 metres."
"Ice Bucket Challenge Budget Edition","Carefully pour a metric cup of water over a willing teammate's head. Film the reaction."
"Rival Recon","Take a photo of a player from another team. Their wristband must be visible in the photo."
